Epoch,loss,accuracy,val_loss,cifar10_ica_3-3
1,1.994,0.2664,1.8007,0.3558
2,1.8062,0.335,1.5723,0.4389
3,1.7196,0.371,1.4722,0.4708
4,1.6745,0.3908,1.4783,0.4574
5,1.6389,0.405,1.4309,0.4849
6,1.6033,0.4185,1.3667,0.5114
7,1.5753,0.4301,1.417,0.4895
8,1.5354,0.4442,1.3023,0.5355
9,1.5185,0.4561,1.2842,0.5481
10,1.4915,0.4653,1.3576,0.5242
11,1.4629,0.4792,1.2802,0.5515
12,1.4548,0.4814,1.2332,0.5627
13,1.4411,0.483,1.2049,0.5666
14,1.433,0.4893,1.2186,0.5655
15,1.4274,0.4944,1.1862,0.5833
16,1.4183,0.4962,1.1901,0.5795
17,1.403,0.5008,1.1775,0.5846
18,1.4007,0.5022,1.2043,0.571
19,1.3938,0.5053,1.1713,0.5874
20,1.3767,0.5103,1.168,0.5864
21,1.379,0.5127,1.1804,0.5801
22,1.3725,0.5132,1.1694,0.5906
23,1.3637,0.5185,1.15,0.5999
24,1.3595,0.5173,1.1896,0.5792
25,1.3528,0.5219,1.1353,0.5993
26,1.3545,0.5179,1.1458,0.5891
27,1.3456,0.5253,1.2031,0.5695
28,1.3315,0.529,1.1014,0.6119
29,1.341,0.5239,1.1162,0.6107
30,1.3334,0.5287,1.0977,0.6202
31,1.325,0.5296,1.0886,0.6156
32,1.32,0.533,1.1,0.6097
33,1.3198,0.5334,1.1613,0.6003
34,1.3215,0.536,1.1121,0.6126
35,1.311,0.537,1.1622,0.5912
36,1.3126,0.5369,1.0981,0.6147
37,1.3047,0.5394,1.0612,0.6258
38,1.3127,0.5385,1.0786,0.6229
39,1.2969,0.5435,1.0748,0.6176
40,1.2992,0.5404,1.0649,0.6241
41,1.2952,0.5435,1.1581,0.5949
42,1.3008,0.5418,1.0693,0.6269
43,1.2935,0.5437,1.0555,0.6301
44,1.2945,0.5448,1.1087,0.6144
45,1.2884,0.5458,1.0655,0.6222
46,1.2879,0.5461,1.0726,0.6268
47,1.29,0.5444,1.0612,0.6232
48,1.2841,0.5497,1.1009,0.6112
49,1.2837,0.5482,1.0595,0.6247
50,1.2801,0.5526,1.0511,0.6373
51,1.2711,0.5516,1.0446,0.6361
52,1.2738,0.5539,1.0309,0.6425
53,1.2683,0.5559,1.0515,0.6338
54,1.2684,0.5546,1.0592,0.6328
55,1.2703,0.5534,1.048,0.6344
56,1.2684,0.5536,1.0607,0.6297
57,1.2558,0.5567,1.0719,0.6262
58,1.261,0.559,1.0365,0.6412
59,1.2529,0.5613,1.0701,0.6294
60,1.263,0.5562,1.0456,0.6376
61,1.2574,0.5593,1.0202,0.6483
62,1.2574,0.5609,1.0081,0.6508
63,1.253,0.5602,1.1873,0.5961
64,1.2517,0.562,1.0269,0.6452
65,1.2539,0.5612,1.0136,0.6455
66,1.2509,0.5595,1.0427,0.6363
67,1.2528,0.563,1.0129,0.6511
68,1.2442,0.5625,1.028,0.6427
69,1.2399,0.5621,1.074,0.6308
70,1.2434,0.5624,1.0435,0.638
71,1.238,0.5637,1.0328,0.6416
72,1.2383,0.5637,1.0767,0.6248
73,1.2334,0.5658,1.036,0.6339
74,1.2381,0.5657,1.0242,0.6464
75,1.2333,0.5703,1.0362,0.6457
76,1.2346,0.5695,1.0148,0.641
77,1.2275,0.5698,1.0127,0.6498
78,1.2325,0.5681,1.0658,0.6286
79,1.2309,0.5682,1.0313,0.6458
80,1.2241,0.5706,0.9992,0.6497
81,1.2223,0.5684,1.0494,0.6369
82,1.2204,0.5735,1.0249,0.6481
83,1.2232,0.5703,0.9979,0.6494
84,1.2316,0.5688,0.9948,0.652
85,1.2217,0.5691,1.0401,0.6315
86,1.2166,0.5744,0.9994,0.6572
87,1.214,0.5733,0.9886,0.6627
88,1.2155,0.5756,1.0531,0.6378
89,1.2246,0.5721,1.0058,0.6476
90,1.2141,0.5732,1.0293,0.6405
91,1.2088,0.5743,1.0089,0.6497
92,1.2006,0.5827,0.9923,0.6578
93,1.2057,0.5785,1.0252,0.6459
94,1.2029,0.58,1.0055,0.6585
95,1.2123,0.5769,1.0408,0.6403
96,1.2005,0.5778,0.996,0.6561
97,1.2035,0.5789,0.9817,0.6608
98,1.2029,0.5768,0.9992,0.6532
99,1.206,0.5777,1.018,0.6464
100,1.2019,0.5782,1.0052,0.6535
