Epoch,loss,accuracy,val_loss,ica_class_patch
1,1.9164,0.2949,1.5762,0.4166
2,1.6988,0.3774,1.5107,0.454
3,1.6514,0.4012,1.4165,0.4822
4,1.6097,0.419,1.4533,0.4571
5,1.5785,0.4293,1.3581,0.5126
6,1.5503,0.4405,1.3846,0.4987
7,1.5184,0.4554,1.2958,0.5375
8,1.4917,0.4638,1.297,0.5365
9,1.4568,0.4806,1.2449,0.5555
10,1.4367,0.4848,1.3166,0.5427
11,1.4244,0.4901,1.2554,0.5512
12,1.4066,0.4984,1.2375,0.5562
13,1.3962,0.5049,1.17,0.5835
14,1.3981,0.5067,1.152,0.5914
15,1.381,0.5119,1.1802,0.5785
16,1.3744,0.511,1.1471,0.5963
17,1.3593,0.5171,1.1388,0.6016
18,1.3484,0.5228,1.1367,0.5996
19,1.359,0.5179,1.1612,0.5858
20,1.338,0.5271,1.1461,0.5943
21,1.328,0.5307,1.1047,0.6033
22,1.3209,0.5321,1.1444,0.6036
23,1.3093,0.538,1.1005,0.6096
24,1.3064,0.5385,1.0961,0.6188
25,1.2988,0.5401,1.1262,0.6002
26,1.2896,0.544,1.0567,0.6319
27,1.2905,0.5457,1.0589,0.6268
28,1.2788,0.5513,1.0603,0.6247
29,1.2837,0.5483,1.0854,0.6192
30,1.2664,0.5543,1.0785,0.6236
31,1.2656,0.5553,1.1003,0.6201
32,1.2605,0.556,1.0469,0.6341
33,1.2595,0.5539,1.0529,0.6297
34,1.2567,0.5549,1.0445,0.6381
35,1.2549,0.5617,1.0949,0.6202
36,1.2463,0.565,1.0266,0.6333
37,1.2383,0.5657,1.0325,0.6389
38,1.2466,0.5629,1.0343,0.6447
39,1.2331,0.5684,1.0348,0.6372
40,1.2379,0.5668,1.1701,0.5985
41,1.2302,0.5694,1.032,0.6397
42,1.2268,0.569,1.0654,0.6286
43,1.2228,0.5722,1.0152,0.6437
44,1.2296,0.5686,1.0318,0.6396
45,1.2274,0.5708,1.0127,0.6519
46,1.2178,0.5743,1.0133,0.6473
47,1.2117,0.5773,1.0547,0.6292
48,1.2188,0.5739,1.0276,0.6415
49,1.2101,0.5762,0.9958,0.6539
50,1.2097,0.5785,1.0619,0.6253
51,1.2073,0.5796,1.0394,0.6328
52,1.2006,0.5793,1.0195,0.6434
53,1.2009,0.5819,1.036,0.6348
54,1.2014,0.5796,1.0118,0.6496
55,1.1942,0.5812,1.0282,0.6443
56,1.1996,0.5799,1.006,0.6532
57,1.1959,0.5801,1.0164,0.6455
58,1.1961,0.5828,0.9678,0.6619
59,1.1918,0.5808,0.9972,0.6476
60,1.1936,0.5866,0.9908,0.6564
61,1.189,0.5858,1.0659,0.6284
62,1.1791,0.5902,0.9915,0.6582
63,1.1859,0.5883,0.9909,0.6521
64,1.1805,0.5879,1.0015,0.6549
65,1.1847,0.5871,0.9594,0.6716
66,1.1706,0.592,1.0086,0.6502
67,1.1763,0.5898,0.9631,0.6656
68,1.169,0.592,1.0052,0.6465
69,1.176,0.5913,0.9917,0.658
70,1.1688,0.5904,0.9804,0.6635
71,1.1693,0.5914,0.9968,0.6598
72,1.1614,0.5955,0.9949,0.6593
73,1.1685,0.5948,0.9652,0.668
74,1.1665,0.5927,0.9493,0.6688
75,1.163,0.5966,0.9746,0.6603
76,1.1715,0.5935,0.9596,0.669
77,1.1563,0.5943,0.9582,0.6674
78,1.1492,0.5989,0.9659,0.6635
79,1.1545,0.5971,0.9581,0.6677
80,1.1553,0.5954,1.0081,0.6517
81,1.1555,0.5984,0.9648,0.6634
82,1.1532,0.5992,0.9581,0.6695
83,1.1458,0.6006,0.9611,0.6656
84,1.1569,0.5968,0.9753,0.6598
85,1.1564,0.5989,1.0233,0.6545
86,1.1461,0.6033,1.0386,0.6476
87,1.1497,0.599,0.9789,0.6538
88,1.1436,0.6048,0.9212,0.6758
89,1.1423,0.6012,0.9419,0.6709
90,1.1408,0.6022,0.9788,0.6602
91,1.1506,0.5988,0.9556,0.6673
92,1.1384,0.6044,0.9521,0.6707
93,1.1646,0.596,0.9713,0.6591
94,1.142,0.6039,0.9491,0.6674
95,1.145,0.602,0.9428,0.6707
96,1.1409,0.601,0.957,0.6645
97,1.142,0.602,0.9413,0.6741
98,1.1294,0.6058,0.9513,0.6773
99,1.1388,0.6039,0.9348,0.6781
100,1.1428,0.6029,0.9656,0.6734
