Epoch,loss,accuracy,val_loss,iclass_patch_glorot_uniform
1,1.8528,0.3175,1.5682,0.4261
2,1.6651,0.3973,1.4331,0.4834
3,1.6028,0.4216,1.41,0.4923
4,1.56,0.4387,1.3877,0.5053
5,1.5373,0.4483,1.3366,0.5272
6,1.5162,0.4533,1.3746,0.5056
7,1.4959,0.4638,1.3015,0.5466
8,1.4823,0.47,1.2955,0.5395
9,1.4705,0.4767,1.2834,0.5427
10,1.4527,0.4794,1.2515,0.5511
11,1.4453,0.4849,1.2614,0.5601
12,1.4329,0.4902,1.2439,0.5641
13,1.4255,0.4929,1.2442,0.5602
14,1.4159,0.4972,1.229,0.5631
15,1.3943,0.5061,1.1591,0.5897
16,1.3788,0.5109,1.2326,0.5638
17,1.3573,0.5155,1.1746,0.593
18,1.3485,0.5231,1.1436,0.5971
19,1.332,0.5298,1.1369,0.5964
20,1.3201,0.5339,1.1574,0.5968
21,1.3194,0.5372,1.1331,0.6045
22,1.3107,0.5375,1.1098,0.6081
23,1.3043,0.5388,1.0743,0.6229
24,1.2977,0.5422,1.1249,0.6048
25,1.2942,0.545,1.152,0.5977
26,1.317,0.5368,1.1007,0.614
27,1.2998,0.5426,1.1109,0.6041
28,1.2748,0.5494,1.0689,0.6244
29,1.2733,0.5529,1.1681,0.5896
30,1.2722,0.5532,1.071,0.6247
31,1.2622,0.5551,1.0562,0.6305
32,1.2565,0.5594,1.074,0.6301
33,1.2586,0.5597,1.0669,0.6282
34,1.2605,0.5577,1.0505,0.6349
35,1.2433,0.5674,1.0373,0.6438
36,1.2454,0.563,1.0328,0.6332
37,1.244,0.5642,1.0299,0.6358
38,1.2363,0.5669,1.0062,0.6516
39,1.2364,0.5648,1.0489,0.6341
40,1.234,0.567,1.026,0.6404
41,1.2334,0.5703,1.016,0.6516
42,1.2249,0.5706,1.0101,0.6508
43,1.2232,0.5742,1.0296,0.6365
44,1.2248,0.5694,1.0537,0.6357
45,1.2205,0.5736,1.0127,0.6482
46,1.2226,0.5739,0.995,0.6562
47,1.2275,0.5704,0.9862,0.6569
48,1.2196,0.5739,0.9979,0.6595
49,1.2093,0.5746,1.0005,0.6516
50,1.2087,0.5778,1.0239,0.642
51,1.2073,0.5767,1.0205,0.6539
52,1.2145,0.5769,0.9951,0.6521
53,1.1975,0.58,1.0257,0.6412
54,1.2048,0.5816,0.9804,0.6586
55,1.1985,0.5815,0.9754,0.6597
56,1.1997,0.5802,0.9955,0.6533
57,1.1897,0.5848,0.9876,0.6589
58,1.2009,0.5804,0.9773,0.6637
59,1.1876,0.5877,0.9913,0.6528
60,1.1952,0.5843,1.003,0.6419
61,1.1928,0.5815,1.0281,0.6385
62,1.1914,0.5846,0.9861,0.655
63,1.1889,0.5864,0.98,0.6577
64,1.1928,0.5844,0.9644,0.6653
65,1.1859,0.5869,1.0112,0.6562
66,1.1839,0.5887,0.9637,0.6653
67,1.185,0.5892,0.9938,0.6527
68,1.1798,0.5907,0.9741,0.6644
69,1.1792,0.5888,1.0313,0.6394
70,1.1761,0.5904,0.9948,0.6475
71,1.1773,0.5919,0.9671,0.665
72,1.1786,0.5898,0.9807,0.6549
73,1.1721,0.5902,0.9905,0.6517
74,1.1705,0.589,0.9788,0.6613
75,1.1745,0.5914,0.9843,0.6516
76,1.1755,0.59,0.9823,0.658
77,1.1727,0.5892,0.9976,0.6569
78,1.1649,0.5944,0.9508,0.6724
79,1.1669,0.5926,0.9714,0.6574
80,1.1738,0.5919,0.9722,0.6638
81,1.1676,0.5957,0.9599,0.6699
82,1.1672,0.5933,0.9515,0.6757
83,1.1582,0.5969,0.9511,0.6674
84,1.1695,0.5976,1.0061,0.6543
85,1.166,0.5926,0.9707,0.6587
86,1.1571,0.5982,0.9848,0.6536
87,1.154,0.5998,0.9713,0.6648
88,1.1632,0.5966,0.958,0.6668
89,1.1476,0.6025,0.9626,0.6625
90,1.1521,0.5987,0.9762,0.6675
91,1.1498,0.6016,0.954,0.6713
92,1.1552,0.5973,0.9543,0.6625
93,1.155,0.5997,0.9293,0.6731
94,1.1529,0.597,0.9698,0.6692
95,1.1502,0.6018,0.9892,0.6571
96,1.158,0.598,0.9734,0.6636
97,1.1449,0.5999,0.9318,0.6818
98,1.151,0.6003,0.9421,0.6736
99,1.1524,0.5984,0.9518,0.665
100,1.1532,0.601,0.9602,0.67
