Epoch,loss,accuracy,val_loss,class_patch_uniform
1,1.891,0.2957,1.5939,0.4261
2,1.7141,0.3689,1.4488,0.4769
3,1.6343,0.4019,1.4535,0.4807
4,1.5852,0.424,1.3914,0.493
5,1.527,0.4469,1.343,0.5184
6,1.4861,0.4667,1.2504,0.5544
7,1.4515,0.4792,1.2513,0.5569
8,1.4442,0.4838,1.3094,0.5402
9,1.4274,0.4919,1.2562,0.553
10,1.4109,0.5001,1.1948,0.5755
11,1.4025,0.5039,1.2149,0.5613
12,1.3875,0.5095,1.1792,0.5756
13,1.3745,0.5142,1.1711,0.5856
14,1.3637,0.5154,1.1453,0.5911
15,1.3635,0.5179,1.1999,0.5712
16,1.3448,0.5245,1.1272,0.5963
17,1.3438,0.5242,1.1239,0.6016
18,1.3266,0.5334,1.1306,0.6049
19,1.3245,0.5334,1.0921,0.619
20,1.3094,0.5373,1.1052,0.6078
21,1.309,0.54,1.0685,0.6251
22,1.3038,0.5413,1.0673,0.629
23,1.2915,0.5441,1.0886,0.6111
24,1.2938,0.5454,1.0829,0.6159
25,1.2821,0.5498,1.0549,0.6301
26,1.2855,0.55,1.0677,0.6251
27,1.2706,0.5524,1.0633,0.6293
28,1.2683,0.5537,1.0498,0.6316
29,1.2633,0.5591,1.0491,0.6345
30,1.2599,0.5555,1.0376,0.6363
31,1.2512,0.5592,1.0664,0.6226
32,1.2526,0.561,1.0303,0.6408
33,1.2546,0.5616,1.0485,0.6333
34,1.2464,0.562,1.0604,0.6305
35,1.2479,0.5626,1.045,0.6435
36,1.2395,0.5637,1.0455,0.64
37,1.2271,0.5709,1.0535,0.6303
38,1.2286,0.5736,1.0311,0.6466
39,1.2329,0.5665,0.9961,0.6509
40,1.2249,0.5712,1.0064,0.6521
41,1.2141,0.5753,1.0341,0.6409
42,1.2248,0.5741,1.0933,0.6077
43,1.2097,0.5789,0.9972,0.6513
44,1.2109,0.5778,1.017,0.6433
45,1.2135,0.5762,1.0967,0.6148
46,1.2077,0.5783,1.0101,0.6494
47,1.2039,0.5797,1.0538,0.6293
48,1.2075,0.5794,0.9954,0.6535
49,1.205,0.5794,1.0461,0.6379
50,1.1907,0.5829,0.9813,0.6594
51,1.1981,0.5801,1.0294,0.6393
52,1.1998,0.5814,1.0008,0.6511
53,1.1953,0.5839,0.9972,0.6544
54,1.1947,0.5861,1.0221,0.6436
55,1.1826,0.5865,1.0398,0.6451
56,1.1872,0.5844,0.9989,0.6548
57,1.1802,0.5896,0.9841,0.6631
58,1.1851,0.5884,0.972,0.6631
59,1.178,0.5902,0.9843,0.6616
60,1.1785,0.5897,0.9976,0.6559
61,1.1709,0.5929,0.9648,0.6706
62,1.17,0.5916,1.0313,0.6515
63,1.172,0.592,0.9565,0.6743
64,1.1626,0.5945,0.9983,0.6504
65,1.1646,0.5931,0.9697,0.6622
66,1.1685,0.5918,0.9634,0.6756
67,1.1693,0.5901,0.9741,0.6669
68,1.1569,0.5989,0.9978,0.6549
69,1.1674,0.5915,0.9858,0.663
70,1.1617,0.5953,1.0015,0.6548
71,1.1536,0.5947,0.9615,0.6682
72,1.1589,0.5955,0.9784,0.6592
73,1.1536,0.598,0.9424,0.6739
74,1.1545,0.5996,0.9616,0.6639
75,1.1482,0.6001,0.945,0.6778
76,1.157,0.598,0.9993,0.6565
77,1.1552,0.5981,0.9849,0.6582
78,1.1436,0.6049,0.9308,0.6802
79,1.1473,0.6026,0.9412,0.6773
80,1.1453,0.6018,0.9581,0.6724
81,1.1354,0.6029,0.9788,0.66
82,1.1399,0.6045,0.9502,0.6767
83,1.1634,0.5979,0.9606,0.6674
84,1.1448,0.6037,0.949,0.6708
85,1.1391,0.6025,0.9494,0.6696
86,1.1443,0.6014,0.9245,0.6815
87,1.1415,0.6045,0.9522,0.6718
88,1.1315,0.6071,0.9343,0.6832
89,1.1298,0.6063,0.9199,0.6794
90,1.1354,0.603,0.9476,0.6727
91,1.1303,0.6062,1.0669,0.6301
92,1.1238,0.6099,0.945,0.6764
93,1.1179,0.6101,0.9179,0.6849
94,1.1314,0.6067,0.9235,0.6816
95,1.1276,0.6079,0.9328,0.676
96,1.1285,0.6067,0.9495,0.6735
97,1.1267,0.6083,0.9218,0.6844
98,1.1197,0.6097,0.9357,0.6769
99,1.1141,0.6092,0.9167,0.6841
100,1.1187,0.6093,0.9178,0.6874
