Epoch,loss,accuracy,val_loss,ica uniform
1,1.7914,0.3448,1.4507,0.4657
2,1.609,0.4174,1.4218,0.49
3,1.5688,0.4311,1.4109,0.4899
4,1.5366,0.4482,1.3234,0.5258
5,1.5113,0.4558,1.3335,0.5177
6,1.4761,0.4695,1.2709,0.5547
7,1.4398,0.4844,1.2403,0.5652
8,1.419,0.4947,1.2222,0.5581
9,1.389,0.5049,1.1928,0.5785
10,1.3718,0.5134,1.1597,0.5914
11,1.3511,0.5208,1.1534,0.6009
12,1.3346,0.5267,1.1565,0.5906
13,1.3284,0.5324,1.1629,0.5922
14,1.3213,0.5334,1.0984,0.6128
15,1.3105,0.5364,1.0879,0.62
16,1.3041,0.5405,1.074,0.6231
17,1.2955,0.5416,1.1267,0.6058
18,1.2873,0.545,1.1085,0.6188
19,1.2854,0.5479,1.0987,0.6183
20,1.2734,0.5509,1.0619,0.6267
21,1.2737,0.5531,1.0587,0.6299
22,1.2728,0.5516,1.0692,0.6213
23,1.2637,0.5557,1.0559,0.6265
24,1.2682,0.5558,1.0252,0.6375
25,1.2598,0.5556,1.0557,0.6222
26,1.2549,0.5586,1.0501,0.6303
27,1.247,0.5604,1.0654,0.63
28,1.2397,0.5622,1.0469,0.6364
29,1.2453,0.5631,1.0454,0.6311
30,1.2372,0.5676,1.0322,0.6428
31,1.2363,0.5678,1.0532,0.6318
32,1.2395,0.5672,1.0337,0.6395
33,1.2298,0.5694,1.0343,0.6499
34,1.2366,0.5667,1.0188,0.6464
35,1.228,0.5705,1.05,0.6317
36,1.2229,0.5722,1.0319,0.6405
37,1.2231,0.5713,1.0127,0.6528
38,1.2259,0.5702,1.0246,0.6454
39,1.2156,0.5752,1.0183,0.6487
40,1.2137,0.5743,1.0373,0.6366
41,1.2083,0.5777,1.0258,0.6459
42,1.2083,0.5797,1.0314,0.643
43,1.208,0.5778,1.0239,0.6503
44,1.2034,0.5792,0.9997,0.6511
45,1.2067,0.5805,1.0302,0.649
46,1.2002,0.5805,1.0184,0.6472
47,1.1945,0.5823,0.9905,0.6582
48,1.1971,0.5831,1.0202,0.6408
49,1.1924,0.584,1.0209,0.6487
50,1.1965,0.5834,1.0118,0.6498
51,1.1973,0.5821,1.0083,0.6549
52,1.1981,0.5823,1.0018,0.6561
53,1.1926,0.5824,0.9944,0.6597
54,1.1908,0.5846,1.0069,0.6519
55,1.185,0.5877,1.0199,0.6432
56,1.1874,0.5861,1.0167,0.6489
57,1.1832,0.5872,1.0176,0.6404
58,1.1826,0.5879,0.9762,0.6565
59,1.1816,0.5875,0.9926,0.6567
60,1.1857,0.5855,0.9681,0.6635
61,1.1841,0.589,0.9757,0.6613
62,1.1786,0.5904,1.0264,0.6452
63,1.1855,0.5897,1.0002,0.6569
64,1.1786,0.5907,1.0029,0.6571
65,1.1744,0.5926,0.9643,0.6646
66,1.1706,0.5935,1.0519,0.6411
67,1.1753,0.5892,0.9704,0.6667
68,1.1713,0.5936,1.0182,0.6511
69,1.1604,0.5982,1.0222,0.6504
70,1.1649,0.5956,0.9621,0.6675
71,1.1617,0.5971,0.979,0.6663
72,1.1582,0.5984,0.9963,0.6564
73,1.1633,0.5946,0.9831,0.6615
74,1.1664,0.5934,0.9759,0.6661
75,1.1541,0.598,0.9533,0.6687
76,1.1639,0.5963,0.9624,0.6641
77,1.1642,0.5967,0.9701,0.667
78,1.1541,0.5989,0.9671,0.6627
79,1.1513,0.598,1.0231,0.6491
80,1.151,0.5992,0.9603,0.6725
81,1.1475,0.6011,0.9441,0.6698
82,1.148,0.6011,0.9567,0.6684
83,1.1494,0.6008,1.0072,0.6594
84,1.1435,0.6006,0.9447,0.6729
85,1.1432,0.6034,0.975,0.6666
86,1.1477,0.6011,1.0058,0.6555
87,1.1443,0.6017,0.9993,0.6517
88,1.1458,0.5998,0.9477,0.6698
89,1.1387,0.605,0.9631,0.6707
90,1.1405,0.6048,0.9682,0.6646
91,1.1442,0.6044,0.9329,0.6759
92,1.1347,0.6055,0.9712,0.6629
93,1.1358,0.6042,0.9971,0.6553
94,1.1465,0.601,0.947,0.6686
95,1.1329,0.6059,0.9539,0.6703
96,1.13,0.6087,0.9423,0.6762
97,1.1314,0.6065,0.947,0.6775
98,1.1392,0.6018,0.943,0.6783
99,1.1396,0.6059,1.0226,0.6475
100,1.1291,0.6084,0.9588,0.6668
