Epoch,loss,accuracy,val_loss,val_acc
1,1.8466,0.3240,1.5788,0.4296
2,1.6925,0.3805,1.4757,0.4727
3,1.6440,0.4036,1.4420,0.4676
4,1.6091,0.4187,1.4119,0.4911
5,1.5605,0.4372,1.3589,0.5023
6,1.5255,0.4542,1.3407,0.5192
7,1.4940,0.4676,1.2435,0.555
8,1.4609,0.4776,1.2227,0.5644
9,1.4520,0.4816,1.2338,0.559
10,1.4292,0.4930,1.1884,0.5783
11,1.4148,0.4989,1.1612,0.5902
12,1.4086,0.4996,1.1865,0.5914
13,1.3910,0.5079,1.1382,0.5933
14,1.3918,0.5079,1.2259,0.561
15,1.3698,0.5152,1.1567,0.5871
16,1.3589,0.5227,1.2986,0.5543
17,1.3502,0.5267,1.1223,0.6074
18,1.3643,0.5216,1.1436,0.5928
19,1.3421,0.5309,1.1184,0.6043
20,1.3410,0.5303,1.1111,0.6047
21,1.3349,0.5319,1.1190,0.5982
22,1.3235,0.5365,1.0959,0.6127
23,1.3176,0.5388,1.0389,0.6353
24,1.3166,0.5391,1.0921,0.6168
25,1.3152,0.5409,1.0757,0.6236
26,1.3094,0.5433,1.0727,0.6238
27,1.3049,0.5437,1.0448,0.633
28,1.2988,0.5481,1.0775,0.6231
29,1.3059,0.5468,1.0707,0.6266
30,1.2901,0.5543,1.0602,0.6303
31,1.2940,0.5490,1.0687,0.6244
32,1.2830,0.5517,1.1120,0.6147
33,1.2842,0.5548,1.0673,0.6283
34,1.2698,0.5545,1.0265,0.646
35,1.2795,0.5571,1.0815,0.6174
36,1.2694,0.5598,1.0359,0.6295
37,1.2690,0.5597,1.0409,0.6423
38,1.2663,0.5604,1.0556,0.6283
39,1.2692,0.5612,1.0343,0.6388
40,1.2643,0.5616,1.0546,0.6398
41,1.2602,0.5658,1.0593,0.6317
42,1.2542,0.5657,1.0649,0.6252
43,1.2609,0.5641,1.0845,0.6265
44,1.2526,0.5669,1.0445,0.6425
45,1.2428,0.5693,1.0756,0.6265
46,1.2450,0.5703,1.0063,0.6505
47,1.2533,0.5662,1.0328,0.6485
48,1.2389,0.5722,1.0366,0.6385
49,1.2367,0.5717,1.0182,0.6475
50,1.2354,0.5693,1.0422,0.6395
51,1.2355,0.5711,1.0282,0.649
52,1.2327,0.5709,1.0056,0.6496
53,1.2268,0.5774,0.9778,0.6619
54,1.2274,0.5747,1.0007,0.6605
55,1.2224,0.5781,1.0284,0.6428
56,1.2274,0.5774,0.9874,0.6611
57,1.2294,0.5747,1.0518,0.6405
58,1.2205,0.5784,0.9824,0.6575
59,1.2175,0.5782,1.0050,0.6557
60,1.2119,0.5815,0.9519,0.6758
61,1.2205,0.5789,1.0304,0.642
62,1.2129,0.5790,1.0293,0.651
63,1.2146,0.5796,0.9757,0.6627
64,1.2103,0.5812,0.9877,0.6644
65,1.2049,0.5832,1.0327,0.6519
66,1.2105,0.5817,1.0047,0.6539
67,1.2075,0.5824,0.9896,0.662
68,1.2132,0.5822,0.9688,0.6714
69,1.2087,0.5804,0.9840,0.6647
70,1.1981,0.5854,0.9511,0.6755
71,1.1898,0.5893,1.0035,0.6613
72,1.2046,0.5820,0.9823,0.6605
73,1.1953,0.5881,0.9932,0.6608
74,1.1987,0.5887,0.9662,0.6701
75,1.1870,0.5888,1.0120,0.6462
76,1.1991,0.5877,0.9708,0.6679
77,1.1861,0.5893,0.9782,0.673
78,1.1924,0.5895,1.0052,0.6577
79,1.1911,0.5891,0.9806,0.666
80,1.1866,0.5908,0.9581,0.6755
81,1.1848,0.5915,0.9787,0.6681
82,1.1877,0.5913,0.9583,0.6711
83,1.1844,0.5906,0.9573,0.6736
84,1.1836,0.5928,0.9768,0.6684
85,1.1748,0.5946,0.9823,0.6709
86,1.1769,0.5928,0.9801,0.6672
87,1.1831,0.5960,1.0143,0.6559
88,1.1780,0.5931,0.9549,0.6777
89,1.1859,0.5907,0.9403,0.6787
90,1.1770,0.5946,0.9796,0.6676
91,1.1726,0.5965,0.9890,0.6578
92,1.1669,0.5994,0.9366,0.678
93,1.1743,0.5926,1.0029,0.6609
94,1.1648,0.5986,0.9755,0.6637
95,1.1697,0.5991,0.9910,0.658
96,1.1684,0.5981,0.9329,0.6847
97,1.1709,0.5975,0.9450,0.6845
98,1.1616,0.5995,0.9337,0.682
99,1.1757,0.5967,0.9311,0.6841
100,1.1643,0.5985,0.9331,0.683
